Number,E-Word,S-Word,Val-Mn-All,Val-Sd-All,Aro-Mn-All,Aro-Sd-All,Dom-Mn-All,Dom-Sd-All,Nlett,Nsyll ,GClass,Freq ,Neigh,Fam ,Con ,Imag 
557,farm,granja,5.53,1.81,4.90,2.16,5.22,1.83,6,2,N,4.11,2,4.75,5.77,4.99
978,severe,grave,1.89,1.47,6.83,2.24,3.24,2.27,5,2,A,87.68,1,UnAv,UnAv,UnAv
605,scream,grito,3.39,2.55,7.42,1.79,4.43,2.37,5,2,N,33.93,4,6.13,5.71,5.67
707,crude,grosero,2.22,1.37,5.99,2.14,4.30,2.26,7,3,A,5.36,1,UnAv,UnAv,UnAv
326,pretty,guapa,7.22,1.40,5.40,2.30,5.18,2.01,5,2,A/N,17.68,4,UnAv,UnAv,UnAv
199,handsome,guapo,7.79,1.32,6.64,1.79,5.07,2.33,5,2,A/N,15,2,UnAv,UnAv,UnAv
910,nursery,guardería,6.59,1.98,6.07,2.20,4.98,2.12,9,4,N,2.32,1,UnAv,UnAv,UnAv
482,war,guerra,1.23,0.72,7.28,2.23,2.04,1.93,6,2,N,251.61,1,6.17,5.86,5.9
196,guillotine,guillotina,1.87,1.36,6.13,2.51,3.17,2.56,10,4,N,1.96,0,UnAv,UnAv,UnAv
1033,wink,guiño,6.93,1.51,6.09,1.66,5.28,1.79,5,2,N,5,3,4.77,5.74,5.18
269,maggot,gusano,2.99,1.73,5.07,2.09,4.60,2.32,6,3,N,4.29,0,5.97,5.55,5.32
813,inhabitant,habitante,5.91,1.60,4.61,1.94,5.19,1.84,9,4,N,7.14,0,5.67,5.37,4.81
775,habit,hábito,4.84,1.75,4.33,2.11,5.87,2.37,6,3,N,24.82,1,5.26,3.18,5.19
536,hawk,halcón,5.29,1.48,5.13,1.78,4.26,2.01,6,2,N,2.68,1,UnAv,UnAv,UnAv
221,hungry,hambriento,3.12,2.03,6.29,2.01,3.56,2.08,10,3,A/N,2.86,1,UnAv,UnAv,UnAv
777,hamburger,hamburguesa,5.78,2.22,4.86,1.91,5.38,2.39,11,4,N,1.25,0,UnAv,UnAv,UnAv
41,blase,harto,2.73,1.80,5.78,2.28,4.27,2.11,5,2,A/N,20,3,UnAv,UnAv,UnAv
146,ennui,hastío,2.46,1.61,4.00,2.22,3.61,2.02,6,3,N,5,1,2.46,4.02,2.91
996,stench,hedor,1.91,1.56,5.62,2.39,3.81,2.35,5,2,N,4.82,1,3.82,4.43,4.37
784,hay,heno,5.00,1.61,3.97,1.82,5.24,2.02,4,2,N,1.61,4,UnAv,UnAv,UnAv
620,wounds,heridas,2.07,1.30,6.43,1.43,3.99,1.97,7,3,N,0,1,UnAv,UnAv,UnAv
222,hurt,herido,1.98,1.34,6.73,1.86,3.31,1.77,6,3,V/A/N,19.11,1,UnAv,UnAv,UnAv
52,brother,hermano,7.81,1.47,5.08,2.52,5.86,2.23,7,3,N,99.82,2,6.64,5.85,6.43
654,beautiful,hermoso,7.61,1.56,5.44,2.67,5.13,2.38,7,3,A,33.39,1,UnAv,UnAv,UnAv
789,heroin,heroína,3.61,2.89,6.09,2.30,4.54,2.79,7,4,N,13.75,1,5.38,5.44,4.92
1015,tool,herramienta,4.58,1.47,4.51,1.92,5.43,1.96,11,4,N,8.04,0,5.77,3.56,5.04
970,scalding,hervir,4.81,0.87,4.77,1.80,5.21,1.79,6,2,V,1.96,2,UnAv,UnAv,UnAv
565,iron,hierro,4.44,1.25,4.44,1.64,4.93,1.86,6,2,N,20.18,2,5.86,5.79,5.67
208,history,historia,5.37,1.93,4.32,2.08,4.93,2.16,8,3,N,332.86,1,6.42,3.68,4.42
209,home,hogar,7.63,1.60,5.01,2.49,6.29,2.18,5,2,N,37.68,2,6.51,4.8,6.4
537,man,hombre,6.91,1.69,6.06,2.22,5.10,2.31,6,2,N,689.82,3,6.8,5.06,6.61
289,murderer,homicida,1.68,1.14,6.69,2.42,3.10,2.57,8,4,N,2.68,0,UnAv,UnAv,UnAv
210,honest,honesto,7.52,1.48,5.02,2.07,6.09,2.08,7,3,A,2.68,1,UnAv,UnAv,UnAv
179,fungus,hongo,2.91,2.03,4.90,2.33,4.00,1.97,5,2,N,5.71,5,UnAv,UnAv,UnAv
211,honor,honor,7.36,1.60,5.53,2.37,6.47,2.08,5,2,N,42.32,0,5.28,3.75,3.01
