	0	1
236	-58.70663	6.806324
237	-55.59284	2.144617
238	-55.831654	1.90924
239	-56.130188	1.6686779
240	-62.168537	15.7808275
241	-62.06908	16.170818
242	-61.127953	16.126728
243	-60.980995	15.322584
244	-61.116245	15.919549
245	-63.732925	10.75867
246	-63.498463	10.253263
247	-67.50615	10.60245
248	-64.77006	4.643522
249	-69.80585	8.566053
250	-67.73486	10.445925
251	-76.49072	8.201534
252	-76.16927	7.5669518
253	-76.45363	8.910463
254	-76.36326	6.2394524
255	-76.791885	12.153361
256	-75.65593	10.56417
257	-76.13457	11.224789
258	-74.00706	11.215101
259	-79.52971	13.9040985
260	-78.25209	14.234683
261	-79.00319	14.589602
262	-79.46782	14.8317795
263	-79.30739	16.871992
264	-75.720856	19.435307
265	-74.11589	21.099298
266	-72.69545	23.561646
267	-71.36335	26.433966
268	-68.97145	28.242306
269	-67.237816	30.48256
270	-69.33405	33.99028
271	-76.37128	19.176674
272	-76.43848	19.293655
273	-73.654785	22.701118
274	-72.19231	25.467178
275	-85.97319	25.64484
276	-67.77692	29.849827
277	-65.46611	31.014893
278	-70.51091	35.26283
279	-73.18413	35.8673
280	-75.13125	37.522167
281	-81.244095	36.480854
282	-84.1738	32.50568
283	-83.97008	29.472328
284	-82.693565	28.037535
285	-81.51752	24.698805
286	-67.427475	19.078028
287	-65.65155	19.839485
288	-63.763577	21.046957
289	-62.800922	21.80719
290	-84.92097	21.73772
291	-86.303185	22.001472
292	-88.98159	22.633024
293	-89.140366	21.465744
294	-89.0486	20.353922
295	-82.226135	19.54434
296	-81.34132	19.38364
297	-80.29663	20.11328
298	-85.05072	20.883934
299	-86.46674	22.43812
300	-88.04975	22.065199
301	-90.89452	19.978662
302	-77.13823	19.693861
303	-77.82132	20.16645
304	-74.03215	22.256319
305	-85.156395	23.762491
306	-86.25583	24.275103
307	-67.71171	29.988934
308	-65.73944	30.735298
309	-70.08956	34.043335
310	-74.062004	35.604877
311	-75.77033	36.427425
312	-81.60285	36.71175
313	-83.23773	33.335556
314	-78.555275	29.003984
315	-77.611275	26.819777
